ID,IDADE,SALARIO_ANUAL,SITUCAO_MORADIA,ANOS_EMPREGO,MOTIVO_EMPRESTIMO,RANKING_EMPRESTIMO,VALOR_SOLICITADO,TAXA_DE_JURO,RISCO_INADIMP,EMP_VS_RENDA,HISTORICO_INADIMP,ANOS_DE_CREDITO
004wNQ39-TsQuLOi8hmOp-rTsTifskDMYQ-tS16,33,42000,Alugada,4,Médico,C,3600,12.68,0,0.09,S,5
007o7Z4z-DX1cUDHcjCZ4-PsCF1d9AQTCy-shub,24,113000,Hipotecada,5,Educativo,B,17950,11.99,0,0.16,N,4
00EDIedo-fzDWnaKreHpT-Yod4ccDQmhei-T1M1,25,24000,Alugada,9,Pessoal,B,9600,11.71,1,0.4,N,3
00LFrMaL-Ccoj7HTuFfNN-6UBrFBOvoxzg-0koQ,22,54000,Hipotecada,0,"Melhora do lar",A,16000,7.51,1,0.3,N,2
00rBUN8G-vwsQE7Osddye-bHofORjlIize-jbLr,28,70834,Hipotecada,4,Pessoal,B,20000,12.21,0,0.28,N,9
00wdJpfB-mPF8Sxzs8qT4-P3P3eQytlcaD-k7Re,26,95000,Hipotecada,0,Educativo,D,20000,14.96,0,0.21,N,3
00XP05XD-58XFjxrxgH6w-KjPLGUCQvGYe-uuzi,33,63996,Alugada,4,Educativo,B,3200,10.74,0,0.05,N,9
00Y5LziG-DHyPXeADGQhw-jdCchWhJz4aW-6XpN,25,120000,Hipotecada,2,Pessoal,F,10000,20.99,0,0.08,N,4
01aOoe5m-MKqu3fRKSr5F-GqEHyBuO0TTi-ZPoP,27,24000,Alugada,0,"Pagamento de débitos",C,4000,12.87,0,0.17,N,10
01HXOA6T-KHCqtppYmDuJ-OcU0vLzXKbxR-aWua,35,154000,Própria,13,Empreendimento,A,12000,6.92,0,0.08,N,5
01Ih63oD-gO7pFrMoEnPL-XivDYK0cuXUQ-Udaf,24,75000,Alugada,6,Pessoal,B,15000,11.71,0,0.2,N,4
01iZxwFE-iy3bSYUpgw2x-Sy2RoELyIMSi-MDJy,37,91800,Hipotecada,0,Médico,F,5000,19.47,1,0.05,S,16
01mYIc8o-5SsXzzGGi9ec-u2LF2l0WvCkT-vCj9,22,45000,Alugada,3,Empreendimento,B,5000,12.42,0,0.11,N,2
01nbSq5W-xWRqNFSGLMcu-Thyblswq23Ne-M6Wg,25,125000,Própria,9,Pessoal,B,25000,10.59,0,0.2,N,2
01nEy4JW-iaX48Xwr2uCd-2xadqRGji04S-Hla1,23,13000,Alugada,0,Pessoal,E,2400,16.82,1,0.18,N,3
01qJj2YZ-ZoWgAnQAUOSF-GlbqhgBzbH7M-rjUA,24,36000,Hipotecada,8,Empreendimento,A,3250,6.39,0,0.09,N,2
01WXNice-DkYD3pamPzFT-kH104j3gDUp6-dBrf,28,48000,Alugada,0,Educativo,B,10000,10.08,0,0.21,N,6
01YXG5Wu-6eUOG8dXXgme-h7b8vzXp2ZX5-Yy2s,26,155000,Alugada,7,"Pagamento de débitos",B,24000,10.99,0,0.15,N,4
022H99io-vYlKhxGub9rl-KYrrpKh5Zxuu-S5xL,28,108000,Hipotecada,4,"Pagamento de débitos",B,10000,10.74,0,0.09,N,6
0292naTF-ucWEi39zWNuN-7y1EafFXeeIe-wCs8,23,33990,Hipotecada,2,"Pagamento de débitos",C,1000,10.59,1,0.03,N,2
02ae22kn-MSCIRueYFAcK-vcfiBzMQ075s-YZad,31,258000,Hipotecada,3,Pessoal,A,28000,5.99,0,0.11,N,5
02aIcg9C-B3SNA0N2wtDE-K1nmy4Cfbgos-ho4A,21,27568,Outros,0,Médico,D,3500,14.42,1,0.13,N,4
02gjGL3N-jyLrybY2QACb-DbsB0AvQtU25-8oDI,31,30000,Alugada,5,Pessoal,C,6000,13.23,0,0.2,N,5
02j1FUBX-fqaBcliqSIMa-toLQx8qAJUtZ-G0to,23,46450,Hipotecada,6,Educativo,A,10000,5.42,0,0.22,N,2
02oqli6L-36Ti61Ns3TZQ-9tMZSJ1gZB5E-HROy,43,39996,Alugada,1,Pessoal,B,4000,10.99,0,0.1,N,11
02PcyCJa-RwiIciDlYq8s-pFhBtQ0AwsDM-Xw80,22,60000,Hipotecada,1,Médico,A,10000,7.9,0,0.17,N,4
02PK093A-vWqMZaQyr6zo-EEnPHYy7P6DU-8fhX,22,62050,Hipotecada,1,Médico,C,2000,13.35,1,0.03,S,4
02PzytOC-bKre8aOcCdCb-PG35DFcKUDsb-QJBZ,27,69996,Alugada,1,Pessoal,B,6000,11.86,0,0.09,N,6
02qiwR1J-N5X4UnhqdyYb-FeiFhdnaLDtK-EZxr,27,65000,Hipotecada,11,Empreendimento,A,8000,7.49,0,0.12,N,8
02qP5zly-yefKzt7PWBkZ-tl1EGT64GDJL-unGh,22,63000,Hipotecada,2,Médico,C,8400,12.73,0,0.13,S,4
02UvYi3H-5O2OvMosuMDO-x0ZEMG9DXvhy-bCRK,22,25440,Alugada,6,Educativo,A,4000,5.42,0,0.16,N,4
02X0IPRI-Z8ToZZUwAFYv-d9ZsP8gZWzW3-M33C,27,31200,Alugada,2,Pessoal,A,6000,6.62,1,0.19,N,10
02x9biGh-3gTRk9lhNtMp-72zH6EM4uoS2-maX2,23,68000,Alugada,1,Empreendimento,E,14400,17.99,1,0.21,N,2
02Xp1CEj-L5No1DwABFbp-fs4Mfe8IgFsp-LuA2,27,70000,Hipotecada,11,"Pagamento de débitos",A,25000,7.66,0,0.36,N,5
035BR3xf-elRKo2M0strt-O0lMEaSrtbuL-pGez,22,26000,Própria,2,Educativo,A,7100,7.49,0,0.27,N,2
03az6cud-BmiSMtukFAmx-Jn3wqnGeaQUF-ajkO,23,85596,Hipotecada,5,Educativo,B,6000,10,0,0.07,N,3
03c5vbkb-p8u5nxxvQ883-Saz6DI9TxGHp-Nj6c,25,70000,Alugada,2,"Melhora do lar",C,7000,13.79,0,0.1,S,2
03dxIafi-8oixPhEHSYZJ-ohhyfg8vminY-K1qA,22,90000,Hipotecada,6,Médico,B,6000,9.25,0,0.07,N,2
03gQN1Nm-6qQ7XecjoICi-lcfM3Roc7YCU-XMfb,29,65000,Hipotecada,13,Educativo,D,10000,15.33,0,0.15,S,6
03htSZqN-Wf9YhA7uihhc-v8cT7EHvOq8u-vwMQ,23,37344,Hipotecada,0,Educativo,C,3200,12.68,0,0.09,N,4
03NW1kqM-wpeJCYjDybeP-yfIbUisbbB7t-EBba,27,49200,Hipotecada,2,"Pagamento de débitos",E,7500,16.32,1,0.15,N,7
04039kHJ-uCxYI2Win7ik-EgjHAdUGJPWS-p00d,24,30000,Alugada,5,Educativo,A,4800,6.99,0,0.16,N,4
042HuhgK-vW5P4xbO6IZz-vMtRGBmyQhRK-qlmS,22,38004,Alugada,5,Educativo,B,12000,10.75,1,0.32,N,3
04sEknJ6-sUsDpbYkCU7d-M4OXEmaUPiYr-gZpG,25,162000,Alugada,9,Pessoal,C,25000,11.03,0,0.15,N,2
04TpfFRn-ftsEzz0DIO4F-U75siMaTdQ5E-U0zS,30,72000,Alugada,1,"Pagamento de débitos",B,10000,9.99,0,0.14,N,7
05AU2u3q-jNEJ2jgsNDsK-S45I2nr9qAH9-x2vh,25,45000,Alugada,0,Empreendimento,C,10000,12.98,0,0.22,S,2
05cdQwaw-YPyayZklqXDB-FEsIEhzP7ZoU-NcNA,25,96000,Alugada,0,"Melhora do lar",A,6000,6.99,0,0.06,N,4
05ChJrDC-enrdW4222KxS-a5yoZrIipnmx-ohB2,29,61000,Alugada,2,Pessoal,D,15000,14.96,1,0.25,S,8
05ev6YR1-IqZucieGHpIn-e6SInLFgPPic-J9XI,23,130000,Hipotecada,7,Médico,C,5000,14.79,0,0.04,S,3
05GKSiRx-QtfSYPB9XyMP-IFrYi1eaALtr-5NWX,24,42000,Alugada,8,Educativo,C,15000,15.27,1,0.36,N,3
05Gq7adU-tlfEJSuqu0vn-3AgSkEu3TG5n-lkRv,23,51000,Hipotecada,5,"Pagamento de débitos",A,4000,6.03,0,0.08,N,2
05o7RxO7-9LhQG7ebJZJb-6GDu1zlTwsfS-0pan,23,65000,Alugada,2,"Pagamento de débitos",B,3600,11.49,0,0.06,N,2
05whmQyY-ZQQpifnkIkBK-29NuQ4syJmxz-aFpM,26,70000,Hipotecada,10,Pessoal,B,8000,10,0,0.11,N,2
